id,name,pct_1919to1944,abs_1919to1944
10101,Eisenstadt,6.22,265
10201,Rust,2.43,29
10301,Breitenbrunn am Neusiedler See,3.93,44
10302,Donnerskirchen,4.55,45
10303,Großhöflein,2.74,25
10304,Hornstein,6.99,149
10305,Klingenbach,10.04,55
10306,Leithaprodersdorf,3.11,16
10307,Mörbisch am See,7.47,88
10308,Müllendorf,5.38,36
10309,Neufeld an der Leitha,6.22,89
10310,Oggau am Neusiedler See,5.88,49
10311,Oslip,5.66,37
10312,Purbach am Neusiedler See,3.6,53
10313,Sankt Margarethen im Burgenland,6.35,91
10314,Schützen am Gebirge,4.69,32
10315,Siegendorf,7.74,104
10316,Steinbrunn,2.65,51
10317,Trausdorf an der Wulka,2.94,41
10318,Wimpassing an der Leitha,2.75,20
10319,Wulkaprodersdorf,7.53,66
10320,Loretto,0.88,3
10321,Stotzing,4.48,16
10322,Zillingtal,4.3,23
10323,Zagersdorf,6.93,33
10401,Bocksdorf,8.46,34
10402,Burgauberg-Neudauberg,6,36
10403,Eberau,14.31,85
10404,Gerersdorf-Sulz,11.24,59
10405,Güssing,5.98,88
10406,Güttenbach,4.93,21
10407,Heiligenbrunn,18.68,79
10408,Kukmirn,8.62,78
10409,Neuberg im Burgenland,10.54,51
10410,Neustift bei Güssing,5.28,14
10411,Olbendorf,8.88,68
10412,Ollersdorf im Burgenland,6.03,29
10413,Sankt Michael im Burgenland,6.49,34
10414,Stegersbach,7.89,100
10415,Stinatz,5.19,31
10416,Strem,7.06,43
10417,Tobaj,6.73,45
10418,Hackerberg,9.04,17
10419,Wörterberg,8.09,19
10420,Großmürbisch,8.22,12
10421,Inzenhof,7.25,14
10422,Kleinmürbisch,3.31,4
10423,Tschanigraben,2,1
10424,Heugraben,9.23,12
10425,Rohr im Burgenland,7.69,16
10426,Bildein,17.78,32
10427,Rauchwart,5.92,17
10428,Moschendorf,16.5,33
10501,Deutsch Kaltenbrunn,3.38,26
10502,Eltendorf,10.55,48
10503,Heiligenkreuz im Lafnitztal,7.01,45
10504,Jennersdorf,7.08,124
10505,Minihof-Liebau,6.65,32
10506,Mogersdorf,8.08,45
10507,Neuhaus am Klausenbach,5.45,24
10508,Rudersdorf,7.01,62
10509,Sankt Martin an der Raab,4.43,43
10510,Weichselbaum,7.5,30
10511,Königsdorf,3.81,13
10512,Mühlgraben,2.75,5
10601,Draßburg,15.56,91
10602,Forchtenstein,4.16,55
10603,Hirm,14.15,60
10604,Loipersbach im Burgenland,4.97,28
10605,Marz,6.8,63
10606,Mattersburg,11.11,290
10607,Neudörfl,3.99,71
10608,Pöttelsdorf,3.33,12
10609,Pöttsching,4.26,66
10610,Rohrbach bei Mattersburg,8.82,94
10611,Bad Sauerbrunn,8.24,80
10612,Schattendorf,7.63,90
10613,Sieggraben,5.05,28
10614,Sigleß,11.78,67
10615,Wiesen,3.91,51
10616,Antau,5.5,22
10617,Baumgarten,7.74,34
10618,Zemendorf-Stöttera,9.86,63
10619,Krensdorf,2.16,6
10701,Andau,5.18,56
10702,Apetlon,5.44,55
10703,Bruckneudorf,10.14,85
10704,Deutsch Jahrndorf,13.46,44
10705,Frauenkirchen,8.23,114
10706,Gattendorf,2.38,15
10707,Gols,5.03,87
10708,Halbturn,5.81,47
10709,Illmitz,2.89,34
10710,Jois,6.17,47
10711,Kittsee,8.56,111
10712,Mönchhof,5.9,59
10713,Neusiedl am See,4.59,144
10714,Nickelsdorf,6.38,57
10715,Pama,3.88,20
10716,Pamhagen,1.74,16
10717,Parndorf,5.23,98
10718,Podersdorf am See,2.28,27
10719,Sankt Andrä am Zicksee,3.08,23
10720,Tadten,5.24,30
10721,Wallern im Burgenland,1.56,12
10722,Weiden am See,4.26,72
10723,Winden am See,6.18,40
10724,Zurndorf,6.77,69
10725,Neudorf,5.94,24
10726,Potzneusiedl,5.03,17
10727,Edelstal,10.61,45
10801,Deutschkreutz,6.5,100
10802,Draßmarkt,8.6,54
10803,Frankenau-Unterpullendorf,10.96,73
10804,Großwarasdorf,8.99,85
10805,Horitschon,5.65,47
10806,Kaisersdorf,13.75,55
10807,Kobersdorf,9.57,88
10808,Lackenbach,10.12,57
10809,Lockenhaus,6.46,75
10810,Lutzmannsburg,8.33,49
10811,Mannersdorf an der Rabnitz,9.76,96
10812,Markt Sankt Martin,8.06,54
10813,Neckenmarkt,7.91,62
10814,Neutal,12.18,62
10815,Nikitsch,11.62,112
10816,Oberpullendorf,7.3,89
10817,Pilgersdorf,4.59,39
10818,Piringsdorf,4.36,17
10819,Raiding,8.93,35
10820,Ritzing,21.44,122
10821,Steinberg-Dörfl,11.28,81
10822,Stoob,8.03,50
10823,Weppersdorf,8.34,72
10824,Lackendorf,6.6,19
10825,Unterfrauenhaid,8.17,25
10826,Unterrabnitz-Schwendgraben,5.94,18
10827,Weingraben,5.67,11
10828,Oberloisdorf,3.82,15
10901,Bad Tatzmannsdorf,4.75,31
10902,Bernstein,5.48,57
10903,Deutsch Schützen-Eisenberg,10.71,71
10904,Grafenschachen,2.68,14
10905,Großpetersdorf,6.43,103
10906,Hannersdorf,11.52,57
10907,Kemeten,6.04,47
10908,Kohfidisch,7.97,61
10909,Litzelsdorf,5.33,32
10910,Loipersdorf-Kitzladen,2.97,16
10911,Mariasdorf,4.04,22
10912,Markt Allhau,5.25,46
10913,Markt Neuhodis,17.25,69
10914,Mischendorf,7.38,57
10915,Oberdorf im Burgenland,8.55,46
10916,Oberschützen,3.88,41
10917,Oberwart,7.77,204
10918,Pinkafeld,9.82,200
10919,Rechnitz,11.35,176
10920,Riedlingsdorf,12.96,98
10921,Rotenturm an der Pinka,6.01,42
10922,Schachendorf,15.27,71
10923,Stadtschlaining,4.25,43
10924,Unterkohlstätten,5.69,26
10925,Unterwart,7.32,41
10926,Weiden bei Rechnitz,9.07,49
10927,Wiesfleck,4.1,21
10928,Wolfau,3.42,22
10929,Neustift an der Lafnitz,6.45,18
10930,Jabing,6.56,24
10931,Badersdorf,13.7,20
10932,Schandorf,10.17,18
20101,Klagenfurt am Wörthersee,9.96,2155
20201,Villach,9.27,1221
20302,Dellach,6.46,29
20305,Hermagor-Pressegger See,6.37,198
20306,Kirchbach,6.9,67
20307,Kötschach-Mauthen,9.07,125
20316,St. Stefan im Gailtal,8.24,62
20320,Gitschtal,9.26,50
20321,Lesachtal,6.15,36
20402,Ebenthal in Kärnten,3.87,105
20403,Feistritz im Rosental,5.78,62
20405,Ferlach,7.22,217
20409,Grafenstein,4.95,57
20412,Keutschach am See,2.54,26
20414,Köttmannsdorf,2.47,31
20415,Krumpendorf am Wörthersee,7,92
20416,Ludmannsdorf,4.25,33
20417,Maria Rain,2.6,26
20418,Maria Saal,2.12,33
20419,Maria Wörth,6.04,55
20421,Moosburg,3.78,63
20424,Pörtschach am Wörther See,7.96,104
20425,Poggersdorf,3.32,43
20428,St. Margareten im Rosental,7.91,39
20432,Schiefling am Wörthersee,3.54,42
20435,Techelsberg am Wörther See,6.18,63
20441,Zell,9.18,29
20442,Magdalensberg,3.14,43
20501,Althofen,3.1,36
20502,Brückl,5.14,49
20503,Deutsch-Griffen,4.17,15
20504,Eberstein,4.39,23
20505,Friesach,4.67,81
20506,Glödnitz,5.98,32
20508,Gurk,7.21,30
20509,Guttaring,2.73,15
20511,Hüttenberg,25.31,205
20512,Kappel am Krappfeld,4.19,28
20513,Klein St. Paul,12.95,86
20515,Liebenfels,3.95,49
20518,Metnitz,5.65,46
20519,Micheldorf,5.16,19
20520,Mölbling,3.7,20
20523,St. Georgen am Längsee,7.11,100
20527,St. Veit an der Glan,10.24,310
20530,Straßburg,4.94,35
20531,Weitensfeld im Gurktal,6.08,52
20534,Frauenstein,2.24,31
20601,Bad Kleinkirchheim,1.71,19
20602,Baldramsdorf,5.83,39
20603,Berg im Drautal,4.54,23
20604,Dellach im Drautal,8.47,50
20605,Großkirchheim,4.34,26
20607,Flattach,4.44,24
20608,Gmünd in Kärnten,4.82,48
20609,Greifenburg,10.01,69
20610,Heiligenblut am Großglockner,7.69,39
20611,Irschen,4.98,37
20613,Kleblach-Lind,8.39,35
20616,Lendorf,6.24,39
20618,Mallnitz,10.09,43
20619,Malta,5.52,43
20620,Millstatt am See,5.18,78
20622,Mörtschach,6.23,24
20624,Mühldorf,8.55,29
20625,Oberdrauburg,5.18,23
20627,Obervellach,7.29,63
20630,Radenthein,10.11,233
20631,Rangersdorf,4.2,28
20632,Rennweg am Katschberg,4.22,32
20633,Sachsenburg,5.42,25
20634,Seeboden am Millstätter See,4.45,112
20635,Spittal an der Drau,7.09,254
20636,Stall,6.41,35
20637,Steinfeld,7.13,47
20638,Trebesing,4.03,16
20639,Weißensee,5.21,24
20640,Winklern,5.86,26
20642,Krems in Kärnten,8.06,64
20643,Lurnfeld,6.78,65
20644,Reißeck,7.76,75
20701,Afritz am See,3.79,21
20702,Arnoldstein,6.42,146
20703,Arriach,5.37,33
20705,Bad Bleiberg,5.2,48
20707,Feistritz an der Gail,5.51,13
20708,Feld am See,7.21,36
20710,Ferndorf,6.74,53
20711,Finkenstein am Faaker See,5.57,214
20712,Fresach,4.93,25
20713,Hohenthurn,4.07,14
20719,Nötsch im Gailtal,6.5,59
20720,Paternion,8.03,163
20721,Rosegg,3.69,27
20722,St. Jakob im Rosental,7.56,132
20723,Stockenboi,3.74,24
20724,Treffen am Ossiacher See,6.95,144
20725,Velden am Wörther See,5.03,202
20726,Weißenstein,8.41,97
20727,Wernberg,2.66,56
20801,Bleiburg,3.7,56
20802,Diex,5.17,21
20803,Eberndorf,8.07,198
20804,Eisenkappel-Vellach,4.73,45
20805,Feistritz ob Bleiburg,3.24,30
20806,Gallizien,6.56,50
20807,Globasnitz,4.34,28
20808,Griffen,5.75,74
20810,Neuhaus,5.88,24
20812,Ruden,4.8,29
20813,St. Kanzian am Klopeiner See,4.13,93
20815,Sittersdorf,4.07,37
20817,Völkermarkt,5.17,202
20901,Bad St. Leonhard im Lavanttal,2.99,48
20905,Frantschach-St. Gertraud,7.42,64
20909,Lavamünd,7.18,80
20911,Preitenegg,4.31,18
20912,Reichenfels,3.81,26
20913,St. Andrä,2.66,93
20914,St. Georgen im Lavanttal,4.85,33
20918,St. Paul im Lavanttal,4.17,46
20923,Wolfsberg,4.56,368
21001,Albeck,3.29,20
21002,Feldkirchen in Kärnten,3.68,180
21003,Glanegg,4.75,31
21004,Gnesau,3.06,14
21005,Himmelberg,3.36,32
21006,Ossiach,4.04,18
21007,Reichenau,3.16,37
21008,St. Urban,3.14,18
21009,Steindorf am Ossiacher See,6.44,104
21010,Steuerberg,2.65,16
30101,Krems an der Donau,10.74,670
30201,St. Pölten,14.52,1966
30301,Waidhofen an der Ybbs,6.7,221
30401,Wiener Neustadt,10.61,1102
30501,Allhartsberg,3.41,23
