id,name,percent,abs
10101,Eisenstadt,11.72,499
10201,Rust,10.39,124
10301,Breitenbrunn am Neusiedler See,18.75,210
10302,Donnerskirchen,14.78,146
10303,Großhöflein,13.94,127
10304,Hornstein,13.64,291
10305,Klingenbach,9.31,51
10306,Leithaprodersdorf,12.26,63
10307,Mörbisch am See,12.82,151
10308,Müllendorf,8.37,56
10309,Neufeld an der Leitha,13.57,194
10310,Oggau am Neusiedler See,16.43,137
10311,Oslip,11.62,76
10312,Purbach am Neusiedler See,12.17,179
10313,Sankt Margarethen im Burgenland,12.85,184
10314,Schützen am Gebirge,11.58,79
10315,Siegendorf,8.64,116
10316,Steinbrunn,11.09,213
10317,Trausdorf an der Wulka,24.39,340
10318,Wimpassing an der Leitha,16.23,118
10319,Wulkaprodersdorf,14.04,123
10320,Loretto,11.99,41
10321,Stotzing,17.37,62
10322,Zillingtal,12.9,69
10323,Zagersdorf,11.97,57
10401,Bocksdorf,17.41,70
10402,Burgauberg-Neudauberg,12.83,77
10403,Eberau,9.76,58
10404,Gerersdorf-Sulz,14.67,77
10405,Güssing,11.62,171
10406,Güttenbach,13.85,59
10407,Heiligenbrunn,14.18,60
10408,Kukmirn,14.03,127
10409,Neuberg im Burgenland,14.05,68
10410,Neustift bei Güssing,16.6,44
10411,Olbendorf,14.1,108
10412,Ollersdorf im Burgenland,12.89,62
10413,Sankt Michael im Burgenland,9.92,52
10414,Stegersbach,8.75,111
10415,Stinatz,12.56,75
10416,Strem,11.99,73
10417,Tobaj,11.21,75
10418,Hackerberg,12.77,24
10419,Wörterberg,13.62,32
10420,Großmürbisch,14.38,21
10421,Inzenhof,10.36,20
10422,Kleinmürbisch,14.05,17
10423,Tschanigraben,18,9
10424,Heugraben,16.92,22
10425,Rohr im Burgenland,15.87,33
10426,Bildein,5,9
10427,Rauchwart,12.89,37
10428,Moschendorf,13,26
10501,Deutsch Kaltenbrunn,18.47,142
10502,Eltendorf,12.09,55
10503,Heiligenkreuz im Lafnitztal,13.4,86
10504,Jennersdorf,14.33,251
10505,Minihof-Liebau,15.38,74
10506,Mogersdorf,16.16,90
