id,name,percent,abs
10101,Eisenstadt,13.17,561
10201,Rust,6.7,80
10301,Breitenbrunn am Neusiedler See,7.23,81
10302,Donnerskirchen,8,79
10303,Großhöflein,14.93,136
10304,Hornstein,9.24,197
10305,Klingenbach,10.22,56
10306,Leithaprodersdorf,19.26,99
10307,Mörbisch am See,10.02,118
10308,Müllendorf,15.84,106
10309,Neufeld an der Leitha,13.36,191
10310,Oggau am Neusiedler See,8.63,72
10311,Oslip,12.08,79
10312,Purbach am Neusiedler See,16.25,239
10313,Sankt Margarethen im Burgenland,8.1,116
10314,Schützen am Gebirge,13.93,95
10315,Siegendorf,12.36,166
10316,Steinbrunn,8.22,158
10317,Trausdorf an der Wulka,9.04,126
10318,Wimpassing an der Leitha,23.25,169
10319,Wulkaprodersdorf,10.16,89
10320,Loretto,7.6,26
10321,Stotzing,9.24,33
10322,Zillingtal,8.41,45
10323,Zagersdorf,17.86,85
10401,Bocksdorf,8.96,36
10402,Burgauberg-Neudauberg,12.67,76
10403,Eberau,8.59,51
10404,Gerersdorf-Sulz,7.81,41
10405,Güssing,5.91,87
10406,Güttenbach,8.45,36
10407,Heiligenbrunn,3.78,16
10408,Kukmirn,9.17,83
10409,Neuberg im Burgenland,7.44,36
10410,Neustift bei Güssing,2.64,7
10411,Olbendorf,9.01,69
10412,Ollersdorf im Burgenland,12.27,59
10413,Sankt Michael im Burgenland,9.35,49
10414,Stegersbach,11.44,145
10415,Stinatz,7.71,46
10416,Strem,10.84,66
10417,Tobaj,12.11,81
10418,Hackerberg,9.57,18
10419,Wörterberg,6.38,15
10420,Großmürbisch,4.11,6
10421,Inzenhof,1.55,3
10422,Kleinmürbisch,3.31,4
10423,Tschanigraben,16,8
10424,Heugraben,13.85,18
10425,Rohr im Burgenland,12.02,25
10426,Bildein,3.89,7
10427,Rauchwart,15.33,44
10428,Moschendorf,2.5,5
10501,Deutsch Kaltenbrunn,7.15,55
10502,Eltendorf,6.37,29
10503,Heiligenkreuz im Lafnitztal,9.66,62
10504,Jennersdorf,7.93,139
10505,Minihof-Liebau,4.78,23
10506,Mogersdorf,7,39
10507,Neuhaus am Klausenbach,5.91,26
10508,Rudersdorf,11.54,102
10509,Sankt Martin an der Raab,7.52,73
10510,Weichselbaum,6.5,26
10511,Königsdorf,15.25,52
10512,Mühlgraben,4.95,9
10601,Draßburg,11.79,69
10602,Forchtenstein,9,119
10603,Hirm,11.32,48
10604,Loipersbach im Burgenland,8.88,50
10605,Marz,14.9,138
10606,Mattersburg,9.38,245
10607,Neudörfl,13.72,244
10608,Pöttelsdorf,13.06,47
10609,Pöttsching,9.36,145
10610,Rohrbach bei Mattersburg,9.57,102
10611,Bad Sauerbrunn,13.18,128
10612,Schattendorf,10.35,122
10613,Sieggraben,7.57,42
10614,Sigleß,11.42,65
10615,Wiesen,6.81,89
10616,Antau,14.5,58
10617,Baumgarten,9.57,42
10618,Zemendorf-Stöttera,8.14,52
10619,Krensdorf,10.07,28
10701,Andau,8.42,91
10702,Apetlon,9.1,92
10703,Bruckneudorf,15.63,131
10704,Deutsch Jahrndorf,7.34,24
10705,Frauenkirchen,8.95,124
10706,Gattendorf,15.71,99
10707,Gols,17.85,309
10708,Halbturn,8.9,72
10709,Illmitz,11.99,141
10710,Jois,12.99,99
10711,Kittsee,19.21,249
10712,Mönchhof,7.3,73
10713,Neusiedl am See,21.29,668
10714,Nickelsdorf,13.42,120
10715,Pama,18.06,93
10716,Pamhagen,8.61,79
10717,Parndorf,19.8,371
10718,Podersdorf am See,14.6,173
10719,Sankt Andrä am Zicksee,6.84,51
10720,Tadten,5.42,31
10721,Wallern im Burgenland,9.08,70
10722,Weiden am See,16.7,282
10723,Winden am See,17.16,111
10724,Zurndorf,15.21,155
10725,Neudorf,13.86,56
10726,Potzneusiedl,15.09,51
10727,Edelstal,15.57,66
10801,Deutschkreutz,11.83,182
10802,Draßmarkt,10.03,63
10803,Frankenau-Unterpullendorf,6.91,46
10804,Großwarasdorf,4.13,39
10805,Horitschon,10.82,90
10806,Kaisersdorf,6.25,25
10807,Kobersdorf,6.09,56
10808,Lackenbach,7.64,43
10809,Lockenhaus,10.16,118
10810,Lutzmannsburg,5.95,35
10811,Mannersdorf an der Rabnitz,8.03,79
10812,Markt Sankt Martin,9.7,65
10813,Neckenmarkt,10.59,83
10814,Neutal,10.41,53
10815,Nikitsch,4.77,46
10816,Oberpullendorf,11.64,142
10817,Pilgersdorf,7.07,60
10818,Piringsdorf,9.23,36
10819,Raiding,14.29,56
10820,Ritzing,7.38,42
10821,Steinberg-Dörfl,8.91,64
10822,Stoob,7.54,47
10823,Weppersdorf,10.54,91
10824,Lackendorf,10.42,30
10825,Unterfrauenhaid,10.13,31
10826,Unterrabnitz-Schwendgraben,9.9,30
10827,Weingraben,5.67,11
10828,Oberloisdorf,12.98,51
10901,Bad Tatzmannsdorf,12.71,83
10902,Bernstein,6.06,63
10903,Deutsch Schützen-Eisenberg,5.88,39
10904,Grafenschachen,9.2,48
10905,Großpetersdorf,7.99,128
10906,Hannersdorf,5.05,25
10907,Kemeten,9.9,77
10908,Kohfidisch,8.5,65
10909,Litzelsdorf,11.33,68
10910,Loipersdorf-Kitzladen,13.54,73
10911,Mariasdorf,6.99,38
10912,Markt Allhau,11.06,97
10913,Markt Neuhodis,6.75,27
10914,Mischendorf,4.66,36
10915,Oberdorf im Burgenland,10.04,54
10916,Oberschützen,8.13,86
10917,Oberwart,10.32,271
10918,Pinkafeld,11,224
10919,Rechnitz,3.93,61
10920,Riedlingsdorf,10.98,83
10921,Rotenturm an der Pinka,8.3,58
10922,Schachendorf,5.81,27
10923,Stadtschlaining,6.03,61
10924,Unterkohlstätten,7.66,35
10925,Unterwart,11.79,66
10926,Weiden bei Rechnitz,3.7,20
10927,Wiesfleck,16.21,83
10928,Wolfau,12.58,81
10929,Neustift an der Lafnitz,16.49,46
10930,Jabing,8.47,31
10931,Badersdorf,6.16,9
10932,Schandorf,6.21,11
20101,Klagenfurt am Wörthersee,9.32,2016
20201,Villach,9.66,1273
20302,Dellach,3.56,16
20305,Hermagor-Pressegger See,6.14,191
20306,Kirchbach,5.25,51
20307,Kötschach-Mauthen,5.59,77
20316,St. Stefan im Gailtal,4.26,32
20320,Gitschtal,7.04,38
20321,Lesachtal,6.67,39
20402,Ebenthal in Kärnten,12.15,330
20403,Feistritz im Rosental,9.42,101
20405,Ferlach,8.12,244
20409,Grafenstein,15.19,175
20412,Keutschach am See,5.47,56
20414,Köttmannsdorf,13.88,174
20415,Krumpendorf am Wörthersee,8.07,106
20416,Ludmannsdorf,8.37,65
20417,Maria Rain,14,140
20418,Maria Saal,11.9,185
20419,Maria Wörth,10.11,92
20421,Moosburg,8.89,148
20424,Pörtschach am Wörther See,8.95,117
20425,Poggersdorf,16.74,217
20428,St. Margareten im Rosental,9.74,48
20432,Schiefling am Wörthersee,11.98,142
20435,Techelsberg am Wörther See,9.72,99
20441,Zell,4.75,15
20442,Magdalensberg,16.81,230
