id,name,pct_pre1919,abs_pre1919
10101,Eisenstadt,7.58,323
10201,Rust,12.23,146
10301,Breitenbrunn am Neusiedler See,5.27,59
10302,Donnerskirchen,7.39,73
10303,Großhöflein,4.83,44
10304,Hornstein,4.45,95
10305,Klingenbach,10.58,58
10306,Leithaprodersdorf,2.92,15
10307,Mörbisch am See,6.28,74
10308,Müllendorf,11.21,75
10309,Neufeld an der Leitha,4.76,68
10310,Oggau am Neusiedler See,8.27,69
10311,Oslip,14.53,95
10312,Purbach am Neusiedler See,6.25,92
10313,Sankt Margarethen im Burgenland,10.34,148
10314,Schützen am Gebirge,6.45,44
10315,Siegendorf,6.25,84
10316,Steinbrunn,1.82,35
10317,Trausdorf an der Wulka,4.16,58
10318,Wimpassing an der Leitha,3.3,24
10319,Wulkaprodersdorf,6.96,61
10320,Loretto,7.89,27
10321,Stotzing,3.36,12
10322,Zillingtal,5.61,30
10323,Zagersdorf,3.36,16
10401,Bocksdorf,12.19,49
10402,Burgauberg-Neudauberg,16,96
10403,Eberau,10.61,63
10404,Gerersdorf-Sulz,7.81,41
10405,Güssing,10.26,151
10406,Güttenbach,0.7,3
10407,Heiligenbrunn,19.15,81
10408,Kukmirn,7.62,69
10409,Neuberg im Burgenland,3.72,18
10410,Neustift bei Güssing,22.26,59
10411,Olbendorf,10.31,79
10412,Ollersdorf im Burgenland,8.52,41
10413,Sankt Michael im Burgenland,12.4,65
10414,Stegersbach,10.41,132
10415,Stinatz,8.04,48
10416,Strem,5.25,32
10417,Tobaj,6.58,44
10418,Hackerberg,12.77,24
10419,Wörterberg,12.77,30
10420,Großmürbisch,17.81,26
10421,Inzenhof,22.28,43
10422,Kleinmürbisch,14.05,17
10423,Tschanigraben,14,7
10424,Heugraben,8.46,11
10425,Rohr im Burgenland,18.75,39
10426,Bildein,21.67,39
10427,Rauchwart,14.63,42
10428,Moschendorf,9.5,19
10501,Deutsch Kaltenbrunn,11.18,86
10502,Eltendorf,21.76,99
10503,Heiligenkreuz im Lafnitztal,17.91,115
10504,Jennersdorf,16.38,287
10505,Minihof-Liebau,28.48,137
10506,Mogersdorf,17.95,100
10507,Neuhaus am Klausenbach,26.59,117
10508,Rudersdorf,10.63,94
10509,Sankt Martin an der Raab,28.32,275
10510,Weichselbaum,30.75,123
10511,Königsdorf,21.11,72
10512,Mühlgraben,30.22,55
10601,Draßburg,11.11,65
10602,Forchtenstein,4.46,59
10603,Hirm,9.91,42
10604,Loipersbach im Burgenland,6.39,36
10605,Marz,5.62,52
10606,Mattersburg,5.02,131
10607,Neudörfl,4.84,86
10608,Pöttelsdorf,7.78,28
10609,Pöttsching,2.78,43
10610,Rohrbach bei Mattersburg,3.38,36
10611,Bad Sauerbrunn,12.15,118
10612,Schattendorf,5.26,62
10613,Sieggraben,1.98,11
10614,Sigleß,9.14,52
10615,Wiesen,2.45,32
10616,Antau,8,32
10617,Baumgarten,9.79,43
10618,Zemendorf-Stöttera,10.8,69
10619,Krensdorf,17.27,48
10701,Andau,0.65,7
10702,Apetlon,2.97,30
10703,Bruckneudorf,9.67,81
10704,Deutsch Jahrndorf,7.65,25
10705,Frauenkirchen,4.55,63
10706,Gattendorf,2.54,16
10707,Gols,1.1,19
10708,Halbturn,3.71,30
10709,Illmitz,1.79,21
10710,Jois,3.02,23
10711,Kittsee,8.64,112
10712,Mönchhof,1.2,12
10713,Neusiedl am See,2.71,85
10714,Nickelsdorf,3.91,35
10715,Pama,3.3,17
10716,Pamhagen,0.54,5
10717,Parndorf,4.38,82
10718,Podersdorf am See,0.25,3
10719,Sankt Andrä am Zicksee,0.94,7
10720,Tadten,0.87,5
10721,Wallern im Burgenland,0.78,6
10722,Weiden am See,0.47,8
10723,Winden am See,5.87,38
10724,Zurndorf,5,51
10725,Neudorf,5.94,24
10726,Potzneusiedl,8.88,30
10727,Edelstal,2.83,12
10801,Deutschkreutz,2.99,46
10802,Draßmarkt,10.67,67
10803,Frankenau-Unterpullendorf,9.31,62
10804,Großwarasdorf,13.97,132
10805,Horitschon,2.28,19
10806,Kaisersdorf,19,76
10807,Kobersdorf,11.41,105
10808,Lackenbach,13.68,77
10809,Lockenhaus,13.87,161
